,Pseudo ID,Age,Gender,Occupation,Native Language,Are you a native Ehugbo Speaker?,How Fluent are you with speaking Ehugbo?,What is the highest level of education attained?,Bible Chapter Read,Audio File Name (.wav),Transcript Link,Transcript,Audio File Link,English Translation
,1,63,Male,Clergy,Ehugbo,Yes,5,University/ Polytechnic (Bachelor's),"Galatians Chapter 1,2, 3 vs 1-14",Galatians 1_1,https://docs.google.com/spreadsheets/d/1CMg99nrYW8L7zJ9LJA129iNVMoHC88Qk/edit?usp=drive_link&ouid=111200986286801467813&rtpof=true&sd=true,"Ọ bụ mụoni bụ Pọl, onyeozi nke Onyenwoayị, eehigi na ẹka madụ ma ọ bụgụ ụmụ madụ, kama nke hiteri na ẹka Onyenwoayị Jisọs Karaịs yaa Chineke bụ Nna, onye meri e ya o hi na ọnwụ pavuru,",https://drive.google.com/file/d/1HQjokzzJOlzSlKwIXra2t7n_zbDczRBD/view?usp=drive_link,"Paul, an apostle—sent not from men nor by a man, but by Jesus Christ and God the Father, who raised him from the dead—"
,1,63,Male,Clergy,Ehugbo,Yes,5,University/ Polytechnic (Bachelor's),"Galatians Chapter 1,2, 3 vs 1-14",Galatians 1_2,https://docs.google.com/spreadsheets/d/1CMg99nrYW8L7zJ9LJA129iNVMoHC88Qk/edit?usp=drive_link&ouid=111200986286801467813&rtpof=true&sd=true,"mụa ụmụne m na ohu na ime Karaịs mụa wo nọ, na-edejeri, Nde chọchị na ohu nọ na Galeshia ẹkwụkwọa.",https://drive.google.com/file/d/1vWFZnPDS3oAxAQQFPiJE40I4efarfjyP/view?usp=drive_link,"and all the brothers and sisters with me, To the churches in Galatia:"
,1,63,Male,Clergy,Ehugbo,Yes,5,University/ Polytechnic (Bachelor's),"Galatians Chapter 1,2, 3 vs 1-14",Galatians 1_3,https://docs.google.com/spreadsheets/d/1CMg99nrYW8L7zJ9LJA129iNVMoHC88Qk/edit?usp=drive_link&ouid=111200986286801467813&rtpof=true&sd=true,"Ekpere m bụ na ẹwụọma yaa udo nke Onyenwoayị Jisọs Karaịs yaa Chineke Nnade aayị dịrị unu,",https://drive.google.com/file/d/190Hjp3eiI3KGBZMMDOm7rgR9Ug7X-iQr/view?usp=drive_link,"Grace and peace to you from God our Father and the Lord Jesus Christ, "
,1,63,Male,Clergy,Ehugbo,Yes,5,University/ Polytechnic (Bachelor's),"Galatians Chapter 1,2, 3 vs 1-14",Galatians 1_4,https://docs.google.com/spreadsheets/d/1CMg99nrYW8L7zJ9LJA129iNVMoHC88Qk/edit?usp=drive_link&ouid=111200986286801467813&rtpof=true&sd=true,"na Karaịs onye jiri onwoe chụa ẹja maka ihe ọjọọ aayị ma a nafụta ayị na ihe ọjọọ nke ọgbọ a dịka nke ọ bụ ọchụchọ Chineke Nnade aayị,",https://drive.google.com/file/d/1FCLmKnpSz_sY-enVSEn8CJdYvzI84tCx/view?usp=drive_link,"who gave himself for our sins to rescue us from the present evil age, according to the will of our God and Father, "
,1,63,Male,Clergy,Ehugbo,Yes,5,University/ Polytechnic (Bachelor's),"Galatians Chapter 1,2, 3 vs 1-14",Galatians 1_5,https://docs.google.com/spreadsheets/d/1CMg99nrYW8L7zJ9LJA129iNVMoHC88Qk/edit?usp=drive_link&ouid=111200986286801467813&rtpof=true&sd=true,onye yaanịa nwo otuto oohu tututu rue mgbe agwụ-agwụ. Amịn.,https://drive.google.com/file/d/1dyWj2eKWPAbrAKeuLqYXHGALB_5D6Pdb/view?usp=drive_link,to whom be glory for ever and ever. Amen.
,1,63,Male,Clergy,Ehugbo,Yes,5,University/ Polytechnic (Bachelor's),"Galatians Chapter 1,2, 3 vs 1-14",Galatians 1_6,https://docs.google.com/spreadsheets/d/1CMg99nrYW8L7zJ9LJA129iNVMoHC88Qk/edit?usp=drive_link&ouid=111200986286801467813&rtpof=true&sd=true,O juru m ẹnya na ọ tọgụ ike unu habuwokozuri Onyem kubeteri unu hite na ẹwụọma Karaịs garị na-agbasozukwekwe oziọma ọzọ.,https://drive.google.com/file/d/1q7ayalEvRZO0wflaP5IuixkmeZpfyRax/view?usp=drive_link,I am astonished that you are so quickly deserting the one who called you to live in the grace of Christ and are turning to a different gospel— 
,1,63,Male,Clergy,Ehugbo,Yes,5,University/ Polytechnic (Bachelor's),"Galatians Chapter 1,2, 3 vs 1-14",Galatians 1_7,https://docs.google.com/spreadsheets/d/1CMg99nrYW8L7zJ9LJA129iNVMoHC88Qk/edit?usp=drive_link&ouid=111200986286801467813&rtpof=true&sd=true,"Ọ dịkwanụgụ oziọma ọzọ ọ bụ, kama a hụrụ m na o nworu nde bịarị bịa na-etihechi unu ihu, na-agbanwo eziokwu nke oziọma bayeri Karaịs.",https://drive.google.com/file/d/1j14eEpy9YlV--Lm5nG1sDKDDVMOGx5xQ/view?usp=drive_link,which is really no gospel at all. Evidently some people are throwing you into confusion and are trying to pervert the gospel of Christ. 
,1,63,Male,Clergy,Ehugbo,Yes,5,University/ Polytechnic (Bachelor's),"Galatians Chapter 1,2, 3 vs 1-14",Galatians 1_8,https://docs.google.com/spreadsheets/d/1CMg99nrYW8L7zJ9LJA129iNVMoHC88Qk/edit?usp=drive_link&ouid=111200986286801467813&rtpof=true&sd=true,"Ekpere m bụ na Chineke taa onye ọọbụla ahụhụ bịarị bịa na-ezi oziọma ọzọ dị iche na ọnwanịa ayị ziri, ma ọ bụgụ ayịa madụ, ma ọ bụgụ maaozi hi na elugwe, na ntaramahụhụ a dịị rue mgbe agwụ-agwụ.",https://drive.google.com/file/d/1ybTLEORX-sWnl76rhTk82335QgK_K9zK/view?usp=drive_link,"But even if we or an angel from heaven should preach a gospel other than the one we preached to you, let them be under God’s curse! "
,1,63,Male,Clergy,Ehugbo,Yes,5,University/ Polytechnic (Bachelor's),"Galatians Chapter 1,2, 3 vs 1-14",Galatians 1_9,https://docs.google.com/spreadsheets/d/1CMg99nrYW8L7zJ9LJA129iNVMoHC88Qk/edit?usp=drive_link&ouid=111200986286801467813&rtpof=true&sd=true,"Dịka nke ayị hiworu kwue, ana m ekwukwekwe e ọzọ: Onye ọọbụla je-abịa bịa na-ezi unu oziọma ọzọ dị iche na ọmụanịm unu nabatarị na mbụ, na ntaram-ahụhụ a agwụkwa agwụ.",https://drive.google.com/file/d/1AsNEN7qt7rOQMlELrWkZkYyDh0ywcaGD/view?usp=drive_link,"As we have already said, so now I say again: If anybody is preaching to you a gospel other than what you accepted, let them be under God’s curse!"
,1,63,Male,Clergy,Ehugbo,Yes,5,University/ Polytechnic (Bachelor's),"Galatians Chapter 1,2, 3 vs 1-14",Galatians 1_10,https://docs.google.com/spreadsheets/d/1CMg99nrYW8L7zJ9LJA129iNVMoHC88Qk/edit?usp=drive_link&ouid=111200986286801467813&rtpof=true&sd=true,"Ẹɦụọdị, m na-achọzu imete obu nde madụ sa ọ ka ọ bụm ihe dị Chineke ma bụ ihe m na-achọ? Ya ọ bụrụ na ana m achọ na mụ emete obu nde madụ bụnụ ahịaga na abụgụ m onyeozi Karaịs.",https://drive.google.com/file/d/1EZN1KEjr1CE31n8ozJ6xGDJaKkR0Pb10/view?usp=drive_link,"Am I now trying to win the approval of human beings, or of God? Or am I trying to please people? If I were still trying to please people, I would not be a servant of Christ."
